q,singer,hybrid,extra,N,sqrtN,gap,time
2,3,4,1,6,2.449489742783178,1.5505102572168221,7.62939453125e-06
3,4,4,0,12,3.4641016151377544,0.5358983848622456,1.0013580322265625e-05
5,6,6,0,30,5.477225575051661,0.5227744249483388,1.0728836059570312e-05
7,8,8,0,56,7.483314773547883,0.5166852264521173,1.3828277587890625e-05
11,12,12,0,132,11.489125293076057,0.5108747069239428,3.528594970703125e-05
13,14,14,0,182,13.490737563232042,0.5092624367679583,5.054473876953125e-05
17,18,18,0,306,17.4928556845359,0.5071443154640995,8.845329284667969e-05
19,20,20,0,380,19.493588689617926,0.5064113103820738,0.0001621246337890625
23,24,24,0,552,23.49468024894146,0.5053197510585399,0.00025177001953125
29,30,30,0,870,29.49576240750525,0.50423759249475,0.0004696846008300781
31,32,32,0,992,31.496031496047245,0.5039685039527555,0.000484466552734375
37,38,38,0,1406,37.49666651850535,0.50333348149465,0.0007672309875488281
41,42,42,0,1722,41.49698784249286,0.5030121575071433,0.0009603500366210938
43,44,44,0,1892,43.497126341863094,0.502873658136906,0.0011246204376220703
47,48,48,0,2256,47.49736834815167,0.5026316518483327,0.0014927387237548828
53,54,54,0,2862,53.49766350038102,0.502336499618977,0.001771688461303711
59,60,60,0,3540,59.49789912257407,0.5021008774259315,0.0023071765899658203
61,62,62,0,3782,61.497967446087195,0.5020325539128052,0.0026845932006835938
67,68,68,0,4556,67.49814812274482,0.5018518772551772,0.0033304691314697266
71,72,72,0,5112,71.49825172687791,0.5017482731220895,0.0038061141967773438
73,74,74,0,5402,73.49829930005184,0.5017006999481595,0.0044858455657958984
79,80,80,0,6320,79.49842765740716,0.5015723425928371,0.0069844722747802734
